Authorized Date,Posted Date,Status,Account Name,Description,Primary Category,Detailed Category,Amount
2026-08-30,2026-08-30,Posted,Checking - 5219,ELAN WEB PYMT,Transfers,Other transfers,-180.00
2026-08-29,2026-08-29,Posted,Savings - 6996,SoFi,Income,Other income,0.10
2026-08-28,2026-08-28,Posted,Credit Card,PAYMENT MADE BY ACCOUNT ENDING IN:9362,Other,Other,180.00
2026-08-27,2026-08-27,Posted,Checking - 5219,Capital One,Transfers,Other transfers,-23.85
2026-08-26,2026-08-27,Posted,CREDITCARD,Flatbush Food Coop,Other,Other,-24.98
2026-08-24,2026-08-24,Posted,Checking - 5219,Citi Card,Debt payments,Credit card payments,-71.54
2026-08-24,2026-08-24,Posted,Checking - 5219,New York Life,Insurance,Life insurance,-76.11
2026-08-24,2026-08-24,Posted,Citi Custom Cash® Card,AUTOPAY 260125121627869OAUTOPAY AUTO-PMT,Other,Other,71.54
2026-08-24,2026-08-25,Posted,CREDITCARD,Sal Express Deli & Grocer,Food & drink,Restaurants & bars,-6.23
2026-08-21,2026-08-24,Posted,CREDITCARD,Youtube Premium,Services,Digital services,-9.99
2026-08-21,2026-08-24,Posted,CREDITCARD,Youtube Premium,Services,Digital services,-2.99
2026-08-20,2026-08-20,Posted,Checking - 5219,Capital One,Transfers,Other transfers,-11.88
2026-08-19,2026-08-19,Posted,Checking - 5219,Bank of America,Transfers,Other transfers,-8.92
2026-08-18,2026-08-19,Posted,Customized Cash Rewards Visa Signature,ONLINE/MOBILE PAYMENT CONF#xdkwlly2j,Other,Other,8.92
2026-08-17,2026-08-17,Posted,Quicksilver,Capital One Card,Debt payments,Credit card payments,13.34
2026-08-17,2026-08-17,Posted,Checking - 5219,Capital One Card,Debt payments,Credit card payments,-13.34
2026-08-14,2026-08-17,Posted,CREDITCARD,Rewards Statement Credit,Income,Other income,213.64
2026-08-14,2026-08-14,Posted,Customized Cash Rewards Visa Signature,Amazon,Shopping,Retail,-15.78
2026-08-13,2026-08-13,Posted,Checking - 5219,Citi Card,Debt payments,Credit card payments,-17.75
